Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedThirdCampaign,AcceptedFourthCampaign,AcceptedFifthCampaign,AcceptedFirstCampaign,AcceptedSecondCampaign,Complain,Z_CostContact,Z_Revenue,AcceptedLastCampaign,AcceptedCampaign,Age,Total_Spent,Children,living_with,family_size,is_parent,education2,customer_for
58138.0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,1,67,1617,0,single,1,0,grad,4424
46344.0,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,0,70,27,2,single,3,1,grad,3874
71613.0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,0,59,776,0,couple,2,0,grad,4073
26646.0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,0,40,53,1,couple,3,1,grad,3900
58293.0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,0,43,422,1,couple,3,1,postgrad,3922
62513.0,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,0,57,716,1,couple,3,1,grad,4054
55635.0,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,0,53,590,1,single,2,1,grad,4354
33454.0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,0,39,169,1,couple,3,1,postgrad,4178
30351.0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,1,50,46,1,couple,3,1,postgrad,4149
5648.0,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,1,74,49,2,couple,4,1,postgrad,3869
52247.3,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,0,41,19,1,couple,3,1,grad,3987
7500.0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,0,48,61,0,couple,2,0,undergrad,4354
63033.0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,0,65,1102,0,single,1,0,grad,3987
59354.0,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,0,72,310,2,single,3,1,grad,3987
17323.0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,0,37,46,0,couple,2,0,grad,4388
82800.0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,1,78,1315,0,single,1,0,postgrad,4343
41850.0,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,0,44,96,2,couple,4,1,grad,4313
37760.0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,0,78,317,0,couple,2,0,grad,4428
76995.0,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,1,75,1782,1,couple,3,1,grad,4219
33812.0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,0,39,133,1,single,2,1,undergrad,4364
37040.0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,0,42,316,0,couple,2,0,grad,4451
2447.0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,0,45,1730,1,couple,3,1,grad,4300
58607.0,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,1,75,972,1,couple,3,1,postgrad,4314
65324.0,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,0,70,544,1,couple,3,1,postgrad,3930
40689.0,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,0,73,444,1,couple,3,1,grad,4229
18589.0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,0,55,75,0,single,1,0,grad,4304
53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,0,48,257,2,couple,4,1,grad,4159
52247.3,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,0,38,637,1,single,2,1,grad,4255
38360.0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,0,35,131,1,couple,3,1,grad,4155
84618.0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,1,59,1672,0,couple,2,0,postgrad,3980
10979.0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,0,35,30,0,single,1,0,grad,3799
38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,0,61,318,0,couple,2,0,grad,4175
40548.0,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,1,54,120,1,couple,3,1,grad,4388
46610.0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,1,72,302,2,single,3,1,postgrad,4369
68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,0,78,1196,0,couple,2,0,grad,4255
